0	1252.50166
3.885259933	1252.3142
7.961339277	1252.18344
11.9483238	1252.03021
15.89995542	1251.83091
19.93023369	1251.70033
23.94400597	1251.63695
27.94902229	1251.54819
32.02359918	1251.424
36.05000559	1251.32873
39.95309315	1251.18776
43.98206092	1250.95353
48.05391396	1250.9291
51.97591512	1250.66444
55.99083382	1250.72712
60.06549326	1250.62898
64.10671447	1250.68261
68.12309044	1250.65783
72.14407015	1250.75082
76.14960017	1250.83114
80.22346958	1250.76477
84.14074882	1250.57438
88.21836244	1250.38539
92.15688837	1250.27642
96.16973878	1250.19474
100.0822057	1250.15034
104.2420612	1250.1746
108.2298702	1250.08622
112.226527	1249.92632
116.2830847	1249.70662
120.3261871	1249.46808
124.2727678	1249.27667
128.228615	1248.97704
132.2978488	1248.75334
136.2379313	1248.50473
140.220723	1248.42688
144.2411409	1248.47874
148.3136884	1248.57489
152.2537309	1248.49201
156.3189488	1248.25296
158.2382995	1248.13458
160.2464163	1248.05238
164.2025817	1247.63909
168.2240999	1247.37623
172.2548419	1247.06395
176.244955	1246.81246
180.209838	1246.55824
184.1733157	1246.24607
188.1215052	1245.92785
192.1578679	1245.68301
196.154837	1245.22061
200.1129519	1244.89655
204.0292833	1244.55457
208.1095041	1244.13177
212.2253139	1243.80514
215.9442887	1243.48961
223.948822	1242.0562
227.7820984	1241.67589
231.7949995	1241.28401
235.7234263	1240.85614
239.674204	1240.25889
243.6146992	1239.67813
247.5264127	1239.10715
251.5197891	1238.55143
255.4345747	1237.94372
259.2431476	1237.29467
263.1995871	1236.59873
267.1301009	1236.017
270.9776262	1235.40707
274.8980443	1234.90362
278.898312	1234.27423
282.8243841	1233.81675
286.7274256	1233.41651
290.7780733	1232.92182
294.7722429	1232.48159
298.6716213	1232.12277
302.7088865	1231.76043
306.6403004	1231.52046
310.648168	1231.38862
314.6425622	1231.19124
318.7474841	1231.08488

